우편번호,설치기관주소,실제위치,설치기관명,경도,위도,GU_ID,GU_NAME,,,,,
5026,"서울특별시 광진구 자양로 117, 광진구보건소 (자양동)",광진구보건소 1층 내과,광진구보건소,127.0820143,37.53872796,5,광진구,,,,,
4963,서울특별시 광진구 워커힐로 177 파라다이스워커힐 카지노,안내데스크 옆,㈜파라다이스워커힐카지노,127.1107088,37.55529103,5,광진구,,,,,
6164,"서울특별시 강남구 테헤란로87길 46, 호텔오크우드프리미어 (삼성동)",5층 프론트 데스크,호텔오크우드프리미어,127.0582056,37.5109824,23,강남구,,,,,
6572,"서울특별시 서초구 방배로 173, 방배열린문화센터(방배4동주민센터) 2층 (방배동)",방배보건지소 2층(열린문화센터),서초구방배보건지소,126.9922432,37.48900635,22,서초구,,,,,
6164,"서울특별시 강남구 영동대로 513, 코엑스 (삼성동)",전시/컨벤션 1층 서문안전사무실,코엑스,127.059159,37.51182391,23,강남구,,,,,
6546,"서울특별시 서초구 신반포로 176, 센트럴시티 (반포동)",1층 대합실 정문,센트럴시티,127.0024112,37.50393446,22,서초구,,,,,
7505,서울특별시 강서구 하늘길 76,국내선 3층 격리대합실(좌),한국공항공사 서울지역본부,126.8033549,37.55878586,16,강서구,,,,,
7505,서울특별시 강서구 하늘길 76,국제선 2층 입국심사대,한국공항공사 서울지역본부,126.800771,37.56583488,16,강서구,,,,,
7505,서울특별시 강서구 하늘길 76,국제선 3층 38Gate,한국공항공사 서울지역본부,126.8009153,37.56573674,16,강서구,,,,,
6164,"서울특별시 강남구 영동대로 513, 코엑스 (삼성동)",전시/컨벤션 2층 컨벤션 지원센터,코엑스,127.059159,37.51182391,23,강남구,,,,,
6590,서울특별시 서초구 반포대로 157 행정법원 1층,행정법원 1층,서울행정법원,127.0361898,37.48124455,22,서초구,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",201동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",202동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
6219,"서울특별시 강남구 도곡로43길 20 (역삼동, 래미안 그레이튼)",203동 1층 계단실,역삼동래미안그레이튼아파트,127.0486171,37.49686518,23,강남구,,,,,
